Petsa,Bayan,Barangay,Sukat_ng_Bukid_Ektarya,Uri_ng_Palay,Petsa_ng_Pagtatanim,Yugto_ng_Palay,Inaasahang_Ani_Tonelada,Totoong_Ani_Tonelada,Sanhi_ng_Pinsala,Porsyento_ng_Pinsala,Pinagkukunan_ng_Tubig,Uri_ng_Lupa,Dami_ng_Abono_Kilo,Gumamit_ng_Pestisidyo,Kondisyon_ng_Panahon,Datos_ng_Bagyo
2022-03-26,Aliaga,Bucot,1.43,NSIC Rc222,2021-12-11,Paglaki,4.13,4.01,Wala,3,UPRIIS - Distrito 1,Burak,149,Oo,"{'dami_ng_ulan_mm': 224, 'pinakamataas_na_temp': 33, 'pinakamababang_temp': 25, 'halumigmig': 68}","{'pangalan': '', 'lakas_ng_hangin': 0, 'ulan': 0, 'tagal': 0}"
2021-01-14,Talavera,Dimasalang,0.65,NSIC Rc438,2020-09-22,Paglaki,4.95,4.85,Wala,2,UPRIIS - Distrito 2,Banlik,152,Oo,"{'dami_ng_ulan_mm': 206, 'pinakamataas_na_temp': 34, 'pinakamababang_temp': 24, 'halumigmig': 79}","{'pangalan': '', 'lakas_ng_hangin': 0, 'ulan': 0, 'tagal': 0}"
2023-02-25,Santa Rosa,Santo Rosario,0.73,NSIC Rc160,2022-11-17,Paghinog,4.63,4.31,Wala,7,UPRIIS - Distrito 4,Buhanging Lupa,127,Hindi,"{'dami_ng_ulan_mm': 203, 'pinakamataas_na_temp': 31, 'pinakamababang_temp': 24, 'halumigmig': 67}","{'pangalan': '', 'lakas_ng_hangin': 0, 'ulan': 0, 'tagal': 0}"
2023-08-11,Guimba,Manggang Marikit,4.01,NSIC Rc216,2023-04-20,Paglaki,4.35,1.35,Falcon,69,UPRIIS - Distrito 2,Burak,176,Hindi,"{'dami_ng_ulan_mm': 175, 'pinakamataas_na_temp': 31, 'pinakamababang_temp': 25, 'halumigmig': 79}","{'pangalan': 'Falcon', 'lakas_ng_hangin': 140, 'ulan': 400, 'tagal': 64}"
2022-01-31,San Jose,Malasin,1.82,NSIC Rc216,2021-10-13,Paghinog,4.27,3.63,Wala,15,UPRIIS - Distrito 1,Mabuhanging Burak,143,Hindi,"{'dami_ng_ulan_mm': 195, 'pinakamataas_na_temp': 33, 'pinakamababang_temp': 26, 'halumigmig': 77}","{'pangalan': '', 'lakas_ng_hangin': 0, 'ulan': 0, 'tagal': 0}"
2023-09-09,San Jose,Palestina,2.05,NSIC Rc160,2023-05-17,Paglaki,4.31,3.92,Wala,9,UPRIIS - Distrito 4,Buhanging Lupa,178,Oo,"{'dami_ng_ulan_mm': 171, 'pinakamataas_na_temp': 33, 'pinakamababang_temp': 25, 'halumigmig': 74}","{'pangalan': '', 'lakas_ng_hangin': 0, 'ulan': 0, 'tagal': 0}"
2021-01-18,Peñaranda,Las Piñas,4.4,NSIC Rc238,2020-10-17,Pamumulaklak,5.59,4.75,Wala,15,UPRIIS - Distrito 3,Mabuhanging Burak,104,Oo,"{'dami_ng_ulan_mm': 167, 'pinakamataas_na_temp': 33, 'pinakamababang_temp': 23, 'halumigmig': 80}","{'pangalan': '', 'lakas_ng_hangin': 0, 'ulan': 0, 'tagal': 0}"
2022-07-15,Gapan,Makabaclay,4.92,NSIC Rc160,2022-04-16,Pamumulaklak,5.09,2.85,Henry,44,UPRIIS - Distrito 2,Banlik,137,Hindi,"{'dami_ng_ulan_mm': 343, 'pinakamataas_na_temp': 34, 'pinakamababang_temp': 24, 'halumigmig': 66}","{'pangalan': 'Henry', 'lakas_ng_hangin': 110, 'ulan': 350, 'tagal': 44}"
2022-07-15,Science City of Muñoz,Centro,3.94,NSIC Rc438,2022-04-09,Paghinog,5.5,2.04,Henry,63,UPRIIS - Distrito 2,Buhanging Lupa,159,Oo,"{'dami_ng_ulan_mm': 377, 'pinakamataas_na_temp': 33, 'pinakamababang_temp': 24, 'halumigmig': 79}","{'pangalan': 'Henry', 'lakas_ng_hangin': 110, 'ulan': 350, 'tagal': 27}"
2021-10-02,Santa Rosa,San Josef,4.07,NSIC Rc238,2021-06-28,Paglaki,5.34,0.8,Lannie,85,UPRIIS - Distrito 2,Mabuhanging Burak,171,Oo,"{'dami_ng_ulan_mm': 259, 'pinakamataas_na_temp': 30, 'pinakamababang_temp': 24, 'halumigmig': 67}","{'pangalan': 'Lannie', 'lakas_ng_hangin': 90, 'ulan': 220, 'tagal': 71}"
2022-12-29,Peñaranda,Poblacion,3.24,NSIC Rc216,2022-09-02,Pamumulaklak,5.41,4.6,Wala,15,UPRIIS - Distrito 3,Burak,119,Oo,"{'dami_ng_ulan_mm': 314, 'pinakamataas_na_temp': 31, 'pinakamababang_temp': 26, 'halumigmig': 77}","{'pangalan': '', 'lakas_ng_hangin': 0, 'ulan': 0, 'tagal': 0}"
2023-05-21,Zaragoza,Mayo,3.97,NSIC Rc160,2023-01-28,Paghinog,5.18,4.61,Wala,11,Tubig-ulan,Burak,173,Oo,"{'dami_ng_ulan_mm': 276, 'pinakamataas_na_temp': 30, 'pinakamababang_temp': 25, 'halumigmig': 82}","{'pangalan': '', 'lakas_ng_hangin': 0, 'ulan': 0, 'tagal': 0}"
2022-03-29,Peñaranda,Sinasajan,3.54,NSIC Rc354,2021-12-19,Pamumulaklak,5.78,5.49,Wala,5,UPRIIS - Distrito 2,Mabuhanging Burak,161,Oo,"{'dami_ng_ulan_mm': 180, 'pinakamataas_na_temp': 30, 'pinakamababang_temp': 24, 'halumigmig': 75}","{'pangalan': '', 'lakas_ng_hangin': 0, 'ulan': 0, 'tagal': 0}"
2023-11-01,Guimba,Macamias,2.11,PSB Rc82,2023-07-08,Pamumulaklak,5.42,4.61,Wala,15,UPRIIS - Distrito 2,Buhanging Lupa,145,Oo,"{'dami_ng_ulan_mm': 117, 'pinakamataas_na_temp': 32, 'pinakamababang_temp': 26, 'halumigmig': 66}","{'pangalan': '', 'lakas_ng_hangin': 0, 'ulan': 0, 'tagal': 0}"
2023-09-06,Gapan,San Lorenzo,1.26,NSIC Rc222,2023-05-20,Pamumulaklak,5.92,5.68,Wala,4,UPRIIS - Distrito 2,Buhanging Lupa,136,Oo,"{'dami_ng_ulan_mm': 128, 'pinakamataas_na_temp': 31, 'pinakamababang_temp': 24, 'halumigmig': 85}","{'pangalan': '', 'lakas_ng_hangin': 0, 'ulan': 0, 'tagal': 0}"
2021-05-25,Peñaranda,Poblacion,0.53,PSB Rc82,2021-02-14,Paglaki,4.5,4.23,Wala,6,UPRIIS - Distrito 4,Banlik,147,Hindi,"{'dami_ng_ulan_mm': 116, 'pinakamataas_na_temp': 32, 'pinakamababang_temp': 26, 'halumigmig': 77}","{'pangalan': '', 'lakas_ng_hangin': 0, 'ulan': 0, 'tagal': 0}"
2021-04-11,Gapan,Pambuan,4.58,NSIC Rc238,2020-12-28,Paghinog,5.81,5.17,Wala,11,UPRIIS - Distrito 2,Banlik,116,Oo,"{'dami_ng_ulan_mm': 143, 'pinakamataas_na_temp': 30, 'pinakamababang_temp': 23, 'halumigmig': 66}","{'pangalan': '', 'lakas_ng_hangin': 0, 'ulan': 0, 'tagal': 0}"
2022-11-01,Peñaranda,Santo Tomas,3.64,NSIC Rc438,2022-07-13,Pamumulaklak,4.41,3.79,Wala,14,UPRIIS - Distrito 1,Burak,121,Oo,"{'dami_ng_ulan_mm': 191, 'pinakamataas_na_temp': 34, 'pinakamababang_temp': 23, 'halumigmig': 80}","{'pangalan': '', 'lakas_ng_hangin': 0, 'ulan': 0, 'tagal': 0}"
2023-12-11,Science City of Muñoz,Rizal,3.27,NSIC Rc222,2023-08-14,Paglaki,5.55,5.16,Wala,7,Maliit na Sistema ng Irigasyon,Burak,149,Hindi,"{'dami_ng_ulan_mm': 107, 'pinakamataas_na_temp': 32, 'pinakamababang_temp': 24, 'halumigmig': 73}","{'pangalan': '', 'lakas_ng_hangin': 0, 'ulan': 0, 'tagal': 0}"
2022-12-18,Aliaga,San Pablo,2.61,NSIC Rc160,2022-08-31,Paghinog,4.85,4.22,Wala,13,UPRIIS - Distrito 4,Mabuhanging Burak,139,Oo,"{'dami_ng_ulan_mm': 272, 'pinakamataas_na_temp': 34, 'pinakamababang_temp': 24, 'halumigmig': 83}","{'pangalan': '', 'lakas_ng_hangin': 0, 'ulan': 0, 'tagal': 0}"
2021-10-22,Peñaranda,Callos,4.91,PSB Rc82,2021-07-20,Paglaki,4.47,3.98,Wala,11,UPRIIS - Distrito 1,Buhanging Lupa,178,Hindi,"{'dami_ng_ulan_mm': 144, 'pinakamataas_na_temp': 34, 'pinakamababang_temp': 26, 'halumigmig': 80}","{'pangalan': '', 'lakas_ng_hangin': 0, 'ulan': 0, 'tagal': 0}"
2023-06-07,Gapan,Makabaclay,4.07,NSIC Rc222,2023-02-15,Paghinog,5.6,2.24,Dodong,60,Tubig-ulan,Banlik,174,Oo,"{'dami_ng_ulan_mm': 307, 'pinakamataas_na_temp': 31, 'pinakamababang_temp': 26, 'halumigmig': 80}","{'pangalan': 'Dodong', 'lakas_ng_hangin': 120, 'ulan': 300, 'tagal': 64}"
2023-06-26,Gapan,Makabaclay,2.49,NSIC Rc402,2023-03-07,Paglaki,5.12,0.87,Dodong,83,UPRIIS - Distrito 1,Burak,102,Oo,"{'dami_ng_ulan_mm': 372, 'pinakamataas_na_temp': 31, 'pinakamababang_temp': 23, 'halumigmig': 69}","{'pangalan': 'Dodong', 'lakas_ng_hangin': 120, 'ulan': 300, 'tagal': 25}"
2023-08-17,Zaragoza,Batitang,2.16,PSB Rc82,2023-04-24,Pamumulaklak,4.47,0.8,Falcon,82,Tubig-ulan,Mabuhanging Burak,154,Hindi,"{'dami_ng_ulan_mm': 207, 'pinakamataas_na_temp': 31, 'pinakamababang_temp': 25, 'halumigmig': 68}","{'pangalan': 'Falcon', 'lakas_ng_hangin': 140, 'ulan': 400, 'tagal': 66}"
2021-01-08,Peñaranda,Sinasajan,4.14,NSIC Rc160,2020-09-14,Pamumulaklak,4.87,4.48,Wala,8,Tubig-ulan,Mabuhanging Burak,135,Oo,"{'dami_ng_ulan_mm': 302, 'pinakamataas_na_temp': 32, 'pinakamababang_temp': 24, 'halumigmig': 69}","{'pangalan': '', 'lakas_ng_hangin': 0, 'ulan': 0, 'tagal': 0}"
2021-03-19,Peñaranda,Callos,2.42,NSIC Rc238,2020-11-22,Paghinog,5.81,5.17,Wala,11,Maliit na Sistema ng Irigasyon,Malagkit na Lupa,174,Hindi,"{'dami_ng_ulan_mm': 189, 'pinakamataas_na_temp': 30, 'pinakamababang_temp': 24, 'halumigmig': 83}","{'pangalan': '', 'lakas_ng_hangin': 0, 'ulan': 0, 'tagal': 0}"
2021-11-25,Talavera,Poblacion Sur,3.46,NSIC Rc238,2021-08-19,Paglaki,4.94,4.5,Wala,9,UPRIIS - Distrito 4,Mabuhanging Burak,162,Hindi,"{'dami_ng_ulan_mm': 284, 'pinakamataas_na_temp': 35, 'pinakamababang_temp': 26, 'halumigmig': 80}","{'pangalan': '', 'lakas_ng_hangin': 0, 'ulan': 0, 'tagal': 0}"
2023-10-02,Talavera,Bagong Sikat,4.26,NSIC Rc216,2023-06-09,Pamumulaklak,5.82,4.95,Wala,15,Maliit na Sistema ng Irigasyon,Buhanging Lupa,160,Oo,"{'dami_ng_ulan_mm': 307, 'pinakamataas_na_temp': 34, 'pinakamababang_temp': 25, 'halumigmig': 83}","{'pangalan': '', 'lakas_ng_hangin': 0, 'ulan': 0, 'tagal': 0}"
2022-05-31,Talavera,Esguerra,2.26,NSIC Rc438,2022-02-03,Paglaki,4.42,3.76,Wala,15,UPRIIS - Distrito 4,Banlik,101,Oo,"{'dami_ng_ulan_mm': 185, 'pinakamataas_na_temp': 32, 'pinakamababang_temp': 26, 'halumigmig': 78}","{'pangalan': '', 'lakas_ng_hangin': 0, 'ulan': 0, 'tagal': 0}"
2023-01-08,Aliaga,Magsaysay,4.97,NSIC Rc238,2022-09-24,Pamumulaklak,5.29,4.81,Wala,9,UPRIIS - Distrito 4,Buhanging Lupa,171,Oo,"{'dami_ng_ulan_mm': 245, 'pinakamataas_na_temp': 33, 'pinakamababang_temp': 23, 'halumigmig': 72}","{'pangalan': '', 'lakas_ng_hangin': 0, 'ulan': 0, 'tagal': 0}"
2022-07-07,Science City of Muñoz,Linglingay,1.37,NSIC Rc238,2022-04-01,Paglaki,4.77,3.34,Florita,30,Maliit na Sistema ng Irigasyon,Burak,143,Hindi,"{'dami_ng_ulan_mm': 273, 'pinakamataas_na_temp': 34, 'pinakamababang_temp': 24, 'halumigmig': 80}","{'pangalan': 'Florita', 'lakas_ng_hangin': 85, 'ulan': 200, 'tagal': 63}"
2022-01-18,Guimba,San Bernardino,4.97,NSIC Rc402,2021-09-21,Paghinog,5.73,5.39,Wala,6,UPRIIS - Distrito 2,Malagkit na Lupa,107,Oo,"{'dami_ng_ulan_mm': 289, 'pinakamataas_na_temp': 31, 'pinakamababang_temp': 25, 'halumigmig': 74}","{'pangalan': '', 'lakas_ng_hangin': 0, 'ulan': 0, 'tagal': 0}"
2023-03-06,Cabanatuan,Bantug,3.23,NSIC Rc438,2022-11-17,Paghinog,4.38,3.72,Wala,15,UPRIIS - Distrito 2,Burak,118,Oo,"{'dami_ng_ulan_mm': 228, 'pinakamataas_na_temp': 32, 'pinakamababang_temp': 25, 'halumigmig': 79}","{'pangalan': '', 'lakas_ng_hangin': 0, 'ulan': 0, 'tagal': 0}"
2021-03-28,Guimba,Naglabrahan,1.63,NSIC Rc160,2020-12-24,Paglaki,4.68,4.07,Wala,13,Tubig-ulan,Banlik,103,Hindi,"{'dami_ng_ulan_mm': 373, 'pinakamataas_na_temp': 32, 'pinakamababang_temp': 24, 'halumigmig': 78}","{'pangalan': '', 'lakas_ng_hangin': 0, 'ulan': 0, 'tagal': 0}"
2022-08-06,Gapan,San Lorenzo,2.01,NSIC Rc238,2022-05-07,Paghinog,4.68,2.85,Henry,39,UPRIIS - Distrito 1,Banlik,105,Hindi,"{'dami_ng_ulan_mm': 154, 'pinakamataas_na_temp': 34, 'pinakamababang_temp': 25, 'halumigmig': 79}","{'pangalan': 'Henry', 'lakas_ng_hangin': 110, 'ulan': 350, 'tagal': 41}"
2022-01-13,San Jose,Tondod,4.56,NSIC Rc402,2021-10-06,Paglaki,4.47,3.84,Wala,14,UPRIIS - Distrito 4,Burak,112,Hindi,"{'dami_ng_ulan_mm': 157, 'pinakamataas_na_temp': 33, 'pinakamababang_temp': 25, 'halumigmig': 83}","{'pangalan': '', 'lakas_ng_hangin': 0, 'ulan': 0, 'tagal': 0}"
2021-03-26,Aliaga,Magsaysay,3.45,NSIC Rc222,2020-12-16,Pamumulaklak,4.94,4.79,Wala,3,Tubig-ulan,Mabuhanging Burak,173,Hindi,"{'dami_ng_ulan_mm': 152, 'pinakamataas_na_temp': 30, 'pinakamababang_temp': 23, 'halumigmig': 81}","{'pangalan': '', 'lakas_ng_hangin': 0, 'ulan': 0, 'tagal': 0}"
2021-07-03,Guimba,Manggang Marikit,4.76,NSIC Rc222,2021-03-28,Paglaki,4.45,4.32,Wala,3,UPRIIS - Distrito 1,Mabuhanging Burak,167,Hindi,"{'dami_ng_ulan_mm': 321, 'pinakamataas_na_temp': 32, 'pinakamababang_temp': 23, 'halumigmig': 80}","{'pangalan': '', 'lakas_ng_hangin': 0, 'ulan': 0, 'tagal': 0}"
2022-09-26,Science City of Muñoz,Rizal,4.4,PSB Rc82,2022-06-18,Pamumulaklak,5.66,5.49,Wala,3,Maliit na Sistema ng Irigasyon,Buhanging Lupa,145,Oo,"{'dami_ng_ulan_mm': 107, 'pinakamataas_na_temp': 31, 'pinakamababang_temp': 24, 'halumigmig': 75}","{'pangalan': '', 'lakas_ng_hangin': 0, 'ulan': 0, 'tagal': 0}"
2021-05-25,San Jose,Kaliwanagan,4.28,NSIC Rc438,2021-01-30,Paghinog,4.04,3.56,Wala,12,UPRIIS - Distrito 1,Burak,163,Hindi,"{'dami_ng_ulan_mm': 296, 'pinakamataas_na_temp': 31, 'pinakamababang_temp': 26, 'halumigmig': 67}","{'pangalan': '', 'lakas_ng_hangin': 0, 'ulan': 0, 'tagal': 0}"
2023-04-06,Gapan,Makabaclay,3.31,NSIC Rc160,2022-12-17,Pamumulaklak,4.62,4.11,Wala,11,UPRIIS - Distrito 3,Mabuhanging Burak,105,Hindi,"{'dami_ng_ulan_mm': 272, 'pinakamataas_na_temp': 30, 'pinakamababang_temp': 24, 'halumigmig': 81}","{'pangalan': '', 'lakas_ng_hangin': 0, 'ulan': 0, 'tagal': 0}"
2021-08-31,Gapan,Pambuan,3.49,NSIC Rc402,2021-05-26,Pamumulaklak,5.77,1.73,Kiko,70,UPRIIS - Distrito 1,Buhanging Lupa,134,Oo,"{'dami_ng_ulan_mm': 335, 'pinakamataas_na_temp': 31, 'pinakamababang_temp': 23, 'halumigmig': 65}","{'pangalan': 'Kiko', 'lakas_ng_hangin': 150, 'ulan': 500, 'tagal': 40}"
2023-07-17,Zaragoza,Mayo,4.79,NSIC Rc222,2023-04-07,Paglaki,4.64,1.9,Egay,59,UPRIIS - Distrito 4,Malagkit na Lupa,118,Hindi,"{'dami_ng_ulan_mm': 394, 'pinakamataas_na_temp': 31, 'pinakamababang_temp': 23, 'halumigmig': 71}","{'pangalan': 'Egay', 'lakas_ng_hangin': 95, 'ulan': 250, 'tagal': 24}"
2022-06-12,Gapan,Makabaclay,2.0,NSIC Rc354,2022-02-20,Pamumulaklak,5.59,2.46,Florita,56,Tubig-ulan,Banlik,157,Oo,"{'dami_ng_ulan_mm': 323, 'pinakamataas_na_temp': 34, 'pinakamababang_temp': 25, 'halumigmig': 79}","{'pangalan': 'Florita', 'lakas_ng_hangin': 85, 'ulan': 200, 'tagal': 44}"
2023-07-10,Zaragoza,Manaul,0.98,NSIC Rc222,2023-04-03,Paglaki,5.07,1.83,Egay,64,UPRIIS - Distrito 1,Mabuhanging Burak,175,Oo,"{'dami_ng_ulan_mm': 180, 'pinakamataas_na_temp': 30, 'pinakamababang_temp': 23, 'halumigmig': 76}","{'pangalan': 'Egay', 'lakas_ng_hangin': 95, 'ulan': 250, 'tagal': 33}"
2021-10-09,Guimba,Manggang Marikit,3.24,NSIC Rc402,2021-07-08,Paghinog,4.37,2.75,Lannie,37,UPRIIS - Distrito 2,Banlik,156,Oo,"{'dami_ng_ulan_mm': 302, 'pinakamataas_na_temp': 35, 'pinakamababang_temp': 23, 'halumigmig': 84}","{'pangalan': 'Lannie', 'lakas_ng_hangin': 90, 'ulan': 220, 'tagal': 44}"
2022-02-08,Gapan,San Lorenzo,4.97,NSIC Rc216,2021-10-28,Paghinog,5.22,5.22,Wala,0,UPRIIS - Distrito 1,Burak,121,Oo,"{'dami_ng_ulan_mm': 323, 'pinakamataas_na_temp': 33, 'pinakamababang_temp': 23, 'halumigmig': 78}","{'pangalan': '', 'lakas_ng_hangin': 0, 'ulan': 0, 'tagal': 0}"
2023-09-14,Gapan,Makabaclay,1.31,NSIC Rc354,2023-06-01,Pamumulaklak,5.32,5.27,Wala,1,UPRIIS - Distrito 3,Mabuhanging Burak,150,Hindi,"{'dami_ng_ulan_mm': 283, 'pinakamataas_na_temp': 30, 'pinakamababang_temp': 23, 'halumigmig': 85}","{'pangalan': '', 'lakas_ng_hangin': 0, 'ulan': 0, 'tagal': 0}"
2022-10-27,Guimba,San Bernardino,2.61,NSIC Rc160,2022-07-01,Paghinog,5.13,4.87,Wala,5,UPRIIS - Distrito 3,Buhanging Lupa,152,Oo,"{'dami_ng_ulan_mm': 157, 'pinakamataas_na_temp': 35, 'pinakamababang_temp': 25, 'halumigmig': 77}","{'pangalan': '', 'lakas_ng_hangin': 0, 'ulan': 0, 'tagal': 0}"
2023-10-05,Guimba,San Bernardino,4.38,NSIC Rc238,2023-06-12,Pamumulaklak,4.87,4.82,Wala,1,UPRIIS - Distrito 1,Malagkit na Lupa,131,Hindi,"{'dami_ng_ulan_mm': 287, 'pinakamataas_na_temp': 32, 'pinakamababang_temp': 26, 'halumigmig': 83}","{'pangalan': '', 'lakas_ng_hangin': 0, 'ulan': 0, 'tagal': 0}"
2021-02-03,Talavera,Bagong Sikat,1.52,NSIC Rc354,2020-10-07,Pamumulaklak,5.92,5.8,Wala,2,Tubig-ulan,Banlik,173,Oo,"{'dami_ng_ulan_mm': 227, 'pinakamataas_na_temp': 33, 'pinakamababang_temp': 25, 'halumigmig': 69}","{'pangalan': '', 'lakas_ng_hangin': 0, 'ulan': 0, 'tagal': 0}"
2022-02-07,Talavera,Poblacion Sur,1.31,NSIC Rc216,2021-11-06,Paglaki,5.25,5.09,Wala,3,Maliit na Sistema ng Irigasyon,Buhanging Lupa,141,Oo,"{'dami_ng_ulan_mm': 201, 'pinakamataas_na_temp': 32, 'pinakamababang_temp': 24, 'halumigmig': 70}","{'pangalan': '', 'lakas_ng_hangin': 0, 'ulan': 0, 'tagal': 0}"
2023-01-14,Santa Rosa,Tagpos,1.99,NSIC Rc238,2022-09-23,Pamumulaklak,4.91,4.81,Wala,2,UPRIIS - Distrito 3,Burak,158,Oo,"{'dami_ng_ulan_mm': 115, 'pinakamataas_na_temp': 34, 'pinakamababang_temp': 26, 'halumigmig': 78}","{'pangalan': '', 'lakas_ng_hangin': 0, 'ulan': 0, 'tagal': 0}"
2023-04-19,Peñaranda,Sinasajan,4.78,NSIC Rc402,2023-01-10,Paghinog,4.71,4.1,Wala,13,Maliit na Sistema ng Irigasyon,Burak,152,Oo,"{'dami_ng_ulan_mm': 159, 'pinakamataas_na_temp': 30, 'pinakamababang_temp': 24, 'halumigmig': 74}","{'pangalan': '', 'lakas_ng_hangin': 0, 'ulan': 0, 'tagal': 0}"
2022-06-04,Talavera,Poblacion Sur,2.02,NSIC Rc438,2022-02-21,Pamumulaklak,5.93,5.22,Wala,12,UPRIIS - Distrito 1,Banlik,124,Oo,"{'dami_ng_ulan_mm': 387, 'pinakamataas_na_temp': 30, 'pinakamababang_temp': 26, 'halumigmig': 83}","{'pangalan': '', 'lakas_ng_hangin': 0, 'ulan': 0, 'tagal': 0}"
2023-08-07,Science City of Muñoz,Centro,3.49,PSB Rc82,2023-04-21,Paglaki,5.99,3.89,Falcon,35,UPRIIS - Distrito 1,Buhanging Lupa,101,Hindi,"{'dami_ng_ulan_mm': 154, 'pinakamataas_na_temp': 31, 'pinakamababang_temp': 24, 'halumigmig': 84}","{'pangalan': 'Falcon', 'lakas_ng_hangin': 140, 'ulan': 400, 'tagal': 44}"
2021-04-01,Guimba,San Bernardino,3.63,NSIC Rc354,2020-12-15,Paglaki,4.03,3.63,Wala,10,UPRIIS - Distrito 3,Mabuhanging Burak,157,Oo,"{'dami_ng_ulan_mm': 292, 'pinakamataas_na_temp': 30, 'pinakamababang_temp': 25, 'halumigmig': 72}","{'pangalan': '', 'lakas_ng_hangin': 0, 'ulan': 0, 'tagal': 0}"
2021-02-27,Peñaranda,Sinasajan,3.66,NSIC Rc354,2020-11-16,Pamumulaklak,4.43,4.3,Wala,3,UPRIIS - Distrito 2,Malagkit na Lupa,109,Oo,"{'dami_ng_ulan_mm': 281, 'pinakamataas_na_temp': 33, 'pinakamababang_temp': 26, 'halumigmig': 79}","{'pangalan': '', 'lakas_ng_hangin': 0, 'ulan': 0, 'tagal': 0}"
2023-01-07,Santa Rosa,San Josef,0.67,NSIC Rc238,2022-10-05,Pamumulaklak,5.99,5.15,Wala,14,UPRIIS - Distrito 2,Burak,174,Oo,"{'dami_ng_ulan_mm': 175, 'pinakamataas_na_temp': 33, 'pinakamababang_temp': 25, 'halumigmig': 71}","{'pangalan': '', 'lakas_ng_hangin': 0, 'ulan': 0, 'tagal': 0}"
2023-01-15,Zaragoza,Santo Rosario,0.98,NSIC Rc438,2022-10-03,Pamumulaklak,5.44,5.33,Wala,2,Tubig-ulan,Banlik,168,Oo,"{'dami_ng_ulan_mm': 393, 'pinakamataas_na_temp': 31, 'pinakamababang_temp': 25, 'halumigmig': 67}","{'pangalan': '', 'lakas_ng_hangin': 0, 'ulan': 0, 'tagal': 0}"
2021-01-04,Science City of Muñoz,Magtanggol,1.17,NSIC Rc354,2020-09-22,Pamumulaklak,5.84,5.61,Wala,4,UPRIIS - Distrito 4,Burak,179,Hindi,"{'dami_ng_ulan_mm': 325, 'pinakamataas_na_temp': 35, 'pinakamababang_temp': 25, 'halumigmig': 81}","{'pangalan': '', 'lakas_ng_hangin': 0, 'ulan': 0, 'tagal': 0}"
2021-04-08,Cabanatuan,Dalampang,4.12,PSB Rc82,2020-12-23,Pamumulaklak,5.66,5.66,Wala,0,UPRIIS - Distrito 1,Buhanging Lupa,169,Hindi,"{'dami_ng_ulan_mm': 278, 'pinakamataas_na_temp': 31, 'pinakamababang_temp': 23, 'halumigmig': 72}","{'pangalan': '', 'lakas_ng_hangin': 0, 'ulan': 0, 'tagal': 0}"
2022-10-23,Science City of Muñoz,Villa Marina,4.3,NSIC Rc222,2022-07-22,Paglaki,4.26,4.0,Wala,6,UPRIIS - Distrito 3,Buhanging Lupa,136,Oo,"{'dami_ng_ulan_mm': 192, 'pinakamataas_na_temp': 34, 'pinakamababang_temp': 25, 'halumigmig': 78}","{'pangalan': '', 'lakas_ng_hangin': 0, 'ulan': 0, 'tagal': 0}"
2022-06-08,San Jose,Malasin,3.5,NSIC Rc216,2022-02-25,Paghinog,5.4,5.02,Wala,7,UPRIIS - Distrito 1,Malagkit na Lupa,148,Oo,"{'dami_ng_ulan_mm': 131, 'pinakamataas_na_temp': 30, 'pinakamababang_temp': 24, 'halumigmig': 84}","{'pangalan': '', 'lakas_ng_hangin': 0, 'ulan': 0, 'tagal': 0}"
2023-08-24,Santa Rosa,Soledad,4.2,NSIC Rc438,2023-05-10,Pamumulaklak,5.81,2.09,Falcon,64,UPRIIS - Distrito 3,Banlik,174,Oo,"{'dami_ng_ulan_mm': 376, 'pinakamataas_na_temp': 31, 'pinakamababang_temp': 26, 'halumigmig': 80}","{'pangalan': 'Falcon', 'lakas_ng_hangin': 140, 'ulan': 400, 'tagal': 67}"
2022-02-20,Gapan,San Vicente,4.56,NSIC Rc216,2021-11-02,Paghinog,4.39,3.91,Wala,11,UPRIIS - Distrito 3,Buhanging Lupa,125,Hindi,"{'dami_ng_ulan_mm': 307, 'pinakamataas_na_temp': 31, 'pinakamababang_temp': 23, 'halumigmig': 77}","{'pangalan': '', 'lakas_ng_hangin': 0, 'ulan': 0, 'tagal': 0}"
2023-05-26,Zaragoza,Santo Rosario,1.68,NSIC Rc402,2023-02-17,Pamumulaklak,5.07,4.41,Wala,13,UPRIIS - Distrito 3,Buhanging Lupa,170,Hindi,"{'dami_ng_ulan_mm': 309, 'pinakamataas_na_temp': 31, 'pinakamababang_temp': 24, 'halumigmig': 77}","{'pangalan': '', 'lakas_ng_hangin': 0, 'ulan': 0, 'tagal': 0}"
2023-05-16,Zaragoza,Santo Rosario,0.86,NSIC Rc238,2023-01-19,Paghinog,5.11,4.5,Wala,12,UPRIIS - Distrito 4,Burak,180,Oo,"{'dami_ng_ulan_mm': 118, 'pinakamataas_na_temp': 34, 'pinakamababang_temp': 25, 'halumigmig': 81}","{'pangalan': '', 'lakas_ng_hangin': 0, 'ulan': 0, 'tagal': 0}"
2022-06-24,Science City of Muñoz,Centro,3.67,PSB Rc82,2022-03-17,Pamumulaklak,4.45,0.62,Florita,86,UPRIIS - Distrito 1,Burak,154,Hindi,"{'dami_ng_ulan_mm': 369, 'pinakamataas_na_temp': 32, 'pinakamababang_temp': 23, 'halumigmig': 76}","{'pangalan': 'Florita', 'lakas_ng_hangin': 85, 'ulan': 200, 'tagal': 41}"
